Date,Order_id,Product
1/1/2018,1,yogurt
1/1/2018,1,pork
1/1/2018,1,sandwich bags
1/1/2018,1,lunch meat
1/1/2018,1,all- purpose
1/1/2018,1,flour
1/1/2018,1,soda
1/1/2018,1,butter
1/1/2018,1,beef
1/1/2018,1,aluminum foil
1/1/2018,1,all- purpose
1/1/2018,1,dinner rolls
1/1/2018,1,shampoo
1/1/2018,1,all- purpose
1/1/2018,1,mixes
1/1/2018,1,soap
1/1/2018,1,laundry detergent
1/1/2018,1,ice cream
1/1/2018,1,dinner rolls
1/1/2018,2,toilet paper
1/1/2018,2,shampoo
1/1/2018,2,hand soap
1/1/2018,2,waffles
1/1/2018,2,cheeses
1/1/2018,2,mixes
1/1/2018,2,milk
1/1/2018,2,sandwich bags
1/1/2018,2,laundry detergent
1/1/2018,2,dishwashing liquid/detergent
1/1/2018,2,waffles
1/1/2018,2,individual meals
1/1/2018,2,hand soap
1/1/2018,2,individual meals
1/1/2018,2,yogurt
1/1/2018,2,cereals
1/1/2018,2,shampoo
1/1/2018,2,aluminum foil
1/1/2018,2,tortillas
1/1/2018,2,mixes
2/1/2018,3,soda
2/1/2018,3,pork
2/1/2018,3,soap
2/1/2018,3,ice cream
2/1/2018,3,toilet paper
2/1/2018,3,dinner rolls
2/1/2018,3,hand soap
2/1/2018,3,spaghetti sauce
2/1/2018,3,milk
2/1/2018,3,ketchup
2/1/2018,3,sandwich loaves
2/1/2018,3,poultry
2/1/2018,3,toilet paper
2/1/2018,3,ice cream
2/1/2018,3,ketchup
2/1/2018,3,laundry detergent
2/1/2018,3,spaghetti sauce
2/1/2018,3,bagels
2/1/2018,3,soap
2/1/2018,3,ice cream
2/1/2018,3,shampoo
2/1/2018,3,lunch meat
2/1/2018,3,cereals
2/1/2018,3,spaghetti sauce
2/1/2018,3,pork
2/1/2018,3,cheeses
2/1/2018,3,eggs
2/1/2018,4,cereals
2/1/2018,4,juice
2/1/2018,4,lunch meat
2/1/2018,4,soda
2/1/2018,4,toilet paper
2/1/2018,4,all- purpose
2/1/2018,5,sandwich loaves
2/1/2018,5,pasta
2/1/2018,5,tortillas
2/1/2018,5,mixes
2/1/2018,5,hand soap
2/1/2018,5,toilet paper
2/1/2018,5,paper towels
2/1/2018,5,flour
2/1/2018,5,pork
2/1/2018,5,poultry
2/1/2018,5,eggs
2/1/2018,5,pork
2/1/2018,5,spaghetti sauce
2/1/2018,5,milk
2/1/2018,5,waffles
2/1/2018,5,individual meals
2/1/2018,5,dinner rolls
2/1/2018,5,all- purpose
2/1/2018,5,soda
2/1/2018,5,yogurt
2/1/2018,6,laundry detergent
2/1/2018,6,toilet paper
2/1/2018,6,eggs
2/1/2018,6,toilet paper
2/1/2018,6,bagels
2/1/2018,6,dishwashing liquid/detergent
2/1/2018,6,cereals
2/1/2018,6,paper towels
2/1/2018,6,laundry detergent
2/1/2018,6,butter
2/1/2018,6,cereals
2/1/2018,6,bagels
2/1/2018,6,paper towels
2/1/2018,6,shampoo
2/1/2018,6,toilet paper
2/1/2018,6,soap
2/1/2018,6,soap
2/1/2018,6,pasta
2/1/2018,6,coffee/tea
2/1/2018,6,poultry
2/1/2018,6,bagels
2/1/2018,6,aluminum foil
2/1/2018,6,butter
2/1/2018,6,spaghetti sauce
2/1/2018,6,ketchup
2/1/2018,6,all- purpose
2/1/2018,6,milk
3/1/2018,7,individual meals
3/1/2018,7,paper towels
3/1/2018,7,tortillas
3/1/2018,7,milk
3/1/2018,7,ice cream
3/1/2018,7,juice
3/1/2018,7,dishwashing liquid/detergent
3/1/2018,7,soap
3/1/2018,7,sandwich bags
3/1/2018,7,pasta
3/1/2018,7,ketchup
3/1/2018,7,all- purpose
3/1/2018,7,yogurt
3/1/2018,7,mixes
3/1/2018,7,mixes
3/1/2018,7,toilet paper
3/1/2018,7,beef
3/1/2018,7,sandwich bags
3/1/2018,7,eggs
3/1/2018,7,spaghetti sauce
3/1/2018,7,fruits
3/1/2018,7,toilet paper
4/1/2018,8,ice cream
4/1/2018,8,juice
4/1/2018,8,paper towels
4/1/2018,8,waffles
4/1/2018,8,soda
4/1/2018,8,cheeses
4/1/2018,8,poultry
4/1/2018,8,toilet paper
4/1/2018,9,juice
4/1/2018,9,poultry
4/1/2018,9,coffee/tea
4/1/2018,9,coffee/tea
4/1/2018,9,dishwashing liquid/detergent
5/1/2018,10,ketchup
5/1/2018,10,coffee/tea
5/1/2018,10,toilet paper
5/1/2018,10,pork
5/1/2018,10,flour
5/1/2018,10,milk
5/1/2018,10,soda
5/1/2018,10,dishwashing liquid/detergent
5/1/2018,10,eggs
5/1/2018,10,tortillas
5/1/2018,10,tortillas
5/1/2018,10,fruits
5/1/2018,10,sugar
5/1/2018,10,soap
5/1/2018,10,dishwashing liquid/detergent
5/1/2018,10,juice
5/1/2018,10,sandwich loaves
5/1/2018,10,poultry
5/1/2018,10,eggs
5/1/2018,10,flour
5/1/2018,10,bagels
5/1/2018,10,soda
5/1/2018,10,bagels
5/1/2018,10,soda
5/1/2018,10,beef
5/1/2018,10,coffee/tea
5/1/2018,10,dishwashing liquid/detergent
5/1/2018,10,cheeses
5/1/2018,10,beef
5/1/2018,10,soap
5/1/2018,10,lunch meat
5/1/2018,10,pork
5/1/2018,10,waffles
5/1/2018,11,sandwich loaves
5/1/2018,11,ice cream
5/1/2018,11,soda
5/1/2018,11,bagels
5/1/2018,11,dishwashing liquid/detergent
5/1/2018,11,eggs
5/1/2018,11,sugar
5/1/2018,11,waffles
5/1/2018,11,individual meals
5/1/2018,11,toilet paper
5/1/2018,11,pasta
5/1/2018,11,sandwich loaves
5/1/2018,11,cheeses
5/1/2018,11,hand soap
5/1/2018,11,ketchup
5/1/2018,11,poultry
5/1/2018,11,dinner rolls
5/1/2018,11,dishwashing liquid/detergent
5/1/2018,11,coffee/tea
5/1/2018,11,milk
5/1/2018,11,shampoo
5/1/2018,11,ketchup
5/1/2018,11,sandwich loaves
5/1/2018,11,hand soap
5/1/2018,11,bagels
